policy,threshold,tasks,accepted,incorrect,far,far_upper_bonferroni,vud,safe,split
ccr_voc_learned,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_learned,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_learned,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_learned,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_learned,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_learned,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_learned,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_learned,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_learned,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_learned,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_learned,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
ccr_voc_known,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_compute,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
fixed_retry,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
generate_review,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
greedy_confidence,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
epsilon_bandit,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
thompson,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
ucb1,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
linear_thompson,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.001,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.002,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.005,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.01,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.02,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.03,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.05,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.075,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.1,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.15,5000,0,0,0.0,1.0,0.0,False,calibration
linucb,0.2,5000,0,0,0.0,1.0,0.0,False,calibration
