policy,vud,correct_utility_per_task,far,severity_weighted_far,acceptance_coverage,correct_acceptance_rate,failure_declaration_rate,cost_per_task,cost_per_correct_task,deadline_miss_rate,budget_violation_rate,scheduler_overhead_seconds,stale_evidence_invalidations,accepted,false_accepts,tasks,far_upper_95
ccr_voc_known,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.449038817452625,22041.349357073625,0.131,0.0,129.46817543090583,0.0,0.0,0.0,9000.0,1.0
ccr_voc_learned,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5543837594205314,22989.45383478478,0.137,0.0,233.9098459001798,0.0,0.0,0.0,9000.0,1.0
epsilon_bandit,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5837149723481737,5253.434751133564,0.0022222222222222222,0.0,1.1762598081513715,171.0,0.0,0.0,9000.0,1.0
fixed_compute,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0400350918859167,27360.315826973252,0.15888888888888889,0.0,0.8507105219887308,0.0,0.0,0.0,9000.0,1.0
fixed_retry,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0540505994524216,27486.455395071796,0.15544444444444444,0.0,0.8187857700559107,0.0,0.0,0.0,9000.0,1.0
generate_review,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0540505994524216,27486.455395071796,0.15544444444444444,0.0,0.7984508588542667,0.0,0.0,0.0,9000.0,1.0
greedy_confidence,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8298241854789774,7468.417669310797,0.014888888888888889,0.0,8.981597555681219,0.0,0.0,0.0,9000.0,1.0
linear_thompson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5880352213267571,5292.316991940814,0.0023333333333333335,0.0,9.085513702017124,29.0,0.0,0.0,9000.0,1.0
linucb,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5507782102251956,4957.00389202676,0.00011111111111111112,0.0,2.098710075028066,0.0,0.0,0.0,9000.0,1.0
thompson,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5504943477128119,4954.449129415307,0.00011111111111111112,0.0,1.3593235821335838,0.0,0.0,0.0,9000.0,1.0
ucb1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5502567317320127,4952.310585588115,0.0,0.0,0.7757242499792483,0.0,0.0,0.0,9000.0,1.0
